Feature,Importance
current_semester,2.164469989416236
semester_x_perf,0.566289843096221
perf_bracket,0.2512744554578663
year_gap_x_perf,0.16957618302496474
board_other,0.1457460138696786
dist_navsari,0.12416840518023911
dist_aurangabad,0.09984189927461268
rel_christian,0.07743675327665114
board_cbse,0.06899305917559533
dist_kutch,0.0681662099856721
dist_sirohi,0.058923391476718746
spec_science,0.052542956036424095
year_gap,0.05215215229988909
dist_gandhinagar,0.05182285504109583
dist_morbi,0.04591157086534255
perf_x_cast_obc,0.04565360448675543
gender,0.04376193621904935
dist_banaskantha,0.04039020589507728
rel_hindu,0.03539157102893237
spec_arts,0.03402838791192768
cast_sebc,0.03092465416942138
cast_open,0.02706743767970968
dist_rajkot,0.026551935033621226
dist_himmatnagar,0.02571326615179407
dist_ahmedabad,0.02547225340367017
dist_amreli,0.02525996255180036
board_ghseb,0.024583521552557212
board_gseb_group,0.02386982294524456
rel_muslim,0.02378013744416417
fees_type,0.02211798547737936
College_enc,0.02211798547737936
dist_gir_somnath,0.020122137009069486
dist_jamnagar,0.01926696289070153
rel_jain,0.017556259827392857
dist_surat,0.015971130064163244
dist_kheda,0.014315695637195572
cast_scst,0.014040612922464824
dist_surendranagar,0.014024738591479048
cast_obc,0.013931517072860803
exam_ssc,0.012564384536983367
exam_hsc,0.012564384536982002
dist_dahod,0.011764378610810339
dist_bhavnagar,0.01172757806241318
dist_patan,0.011544830566545185
dist_junagadh,0.010591779383081687
dist_arvalli,0.010441309495150358
dist_botad,0.008871567158033734
board_gseb,0.007897476175803053
dist_sabarkantha,0.0077012537581594345
dist_anand,0.007041448981549871
dist_mehsana,0.0048999196006062505
dist_dungarpur,0.004575992139781094
perf_x_cast_scst,0.004240763776232594
dist_mahisagar,0.004213942024164581
dist_porbandar,0.002318853169069824
spec_commerce,0.0007196149800200722
dist_devbhumi_dwarka,0.0
dist_gondiya,0.0
dist_maharashtra,0.0
dist_halvad,0.0
