Trained At,Rows,Evaluation,Model,Accuracy,Precision,Recall,F1,ROC-AUC,F1 Std
20260823_224743,842,5-fold Stratified Cross-Validation,Random Forest,0.976260918568611,0.9788615064033588,0.976260918568611,0.976905338190587,0.9958359101216244,0.007967000023679454
20260823_224743,842,5-fold Stratified Cross-Validation,Logistic Regression,0.9727035784728093,0.9752607924468013,0.9727035784728093,0.9734054717466828,0.9960832817975674,0.0074746383850309095
20260823_224743,842,5-fold Stratified Cross-Validation,Decision Tree,0.9572344322344323,0.9631053648918089,0.9572344322344323,0.9589058755322911,0.9620961804635273,0.015117507597483995
